title,link,abstract,sdgs,full_abstract,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16
Measuring the low-carbon energy transition in Chinese cities,/articles/measuring-low-carbon-energy-transition-chinese-cities,"In this paper the authors show how the heterogeneity in cities means that individual cities need specific low-carbon roadmaps, rather than a one-size-fits-all approach",Goal 7: Affordable and clean energy; Goal 13: Climate action; Goal 11: Sustainable cities and communities,"Cities’ transition from fossil-based systems of energy production and consumption to renewable energy sources—the energy transition—is critical to mitigating climate change impact as cities’ energy consumption and CO2 emissions account for two-thirds and over 70% of the world’s total, respectively. Given cities’ heterogeneity, they need specific low-carbon roadmaps instead of one-size-fits-all approaches. Here, we used an Energy Transition Index (ETI) to characterize the city-level energy transitions from energy system performance and transition readiness dimensions. The ETI scores for 282 cities in China revealed a significant heterogeneity across cities and over time, and the gap between the cities in the top and bottom quartiles was persistent. We estimated that China’s energy and carbon intensity could decrease by 34% and 32%, respectively, and that carbon per capita could fall by 17% if each city modestly follows the sustainable development path forged by the best performing cities with similar economic structures.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Exploring the Global Sustainable Innovation Landscape,/articles/exploring-global-sustainable-innovation-landscape,"In a first-of-its-kind report, learn which companies are the world’s leading patent owners with the potential to drive transformative innovation toward the United Nations Sustainable Development Goals (SDGs).","Goal 9: Industry, innovation and infrastructure","Supported by data analysis from industry-leading patent analytics solution LexisNexis® PatentSight®, “Exploring the Global Sustainable Innovation Landscape: The Top 100 Companies and Beyond” leverages a unique methodology that maps global patents to the UN Sustainable Development Goals (UN SDGs), revealing which companies have the most innovative strength in sustainable technologies. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Construction and validation of a nomogram for HBV-related hepatocellular carcinoma: A large, multicenter study",/articles/construction-and-validation-nomogram-hbv-related-hepatocellular-carcinoma-large-multicenter,"This article aligns with the SDG goal 3 of Good health and wellbeing by creating a nomogram useful for clinical decision making that shows good performance in predicting the 1-year survival rate in patients with HBV-related HCC.
",Goal 3: Good health and well-being,"Introduction and Objectives: We initiated this multicenter study to integrate important risk factors to create a nomogram for hepatitis B virus (HBV)-related hepatocellular carcinoma (HCC) for clinician decision-making. Patients and Methods: Between April 2011 and March 2022, 2281 HCC patients with an HBV-related diagnosis were included. All patients were randomly divided into two groups in a ratio of 7:3 (training cohort, n = 1597; validation cohort, n = 684). The nomogram was built in the training cohort via Cox regression model and validated in the validation cohort. Results: Multivariate Cox analyses revealed that the portal vein tumor thrombus, Child–Pugh class, tumor diameter, alanine aminotransferase level, tumor number, extrahepatic metastases, and therapy were independent predictive variables impacting overall survival. We constructed a new nomogram to predict 1-, 2-, and 3-year survival rates based on these factors. The nomogram-related receiver operating characteristics (ROC) curves indicated that the area under the curve (AUC) values were 0.809, 0.806, and 0.764 in predicting 1-, 2-, and 3-year survival rates, respectively. Furthermore, the calibration curves revealed good agreement between real measurements and nomogram predictions. The decision curve analyses (DCA) curves demonstrated excellent therapeutic application potential. In addition, stratified by risk scores, low-risk groups had longer median OS than medium–high-risk groups (p < 0.001). Conclusions: The nomogram we constructed showed good performance in predicting the 1-year survival rate for HBV- related HCC.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benchmarking a two-way coupled coastal wave–current hydrodynamics model,/articles/benchmarking-two-way-coupled-coastal-wave%E2%80%93current-hydrodynamics-model,"This paper develops a coupling between SWAN and Thetis models to account for wave–current interactions occurring by the co-existence of wave and current flows. The different grids and time-steps employed by the model components allow greater flexibility. The two models run consecutively, and communicate internally to exchange the necessary parameters. These are the significant wave height, mean wave direction, mean wavelength and percentage of wave-breaking calculated by SWAN necessary for calculating radiation stress and wave roller effects, while Thetis provides water elevation and current velocity fields.
",Goal 14: Life below water,"Wave–current interaction phenomena are often represented through coupled model frameworks in ocean modelling. However, benchmarking of these models is scarce, revealing a substantial research challenge. We seek to address this through a selection of cases for coupled wave–current interaction modelling. This comprises a series of analytical and experimental test cases spanning three diverse conditions of wave run-up, one scenario of waves opposing a current flow, and a 2-D arrangement of waves propagating over a submerged bar. We simulate these through coupling the spectral wave model, Simulating WAves Nearshore (SWAN), with the coastal hydrodynamics shallow-water equation model, Thetis, using the Basic Model Interface (BMI) structure. By comparing calibrated versus default parameter settings we identify and highlight calibration uncertainties that emerge across a range of potential applications. Calibrated model results exhibit good correlation against experimental and analytical data, alongside benchmarked wave–current model predictions, where available. Specifically, inter-model comparisons show equivalent accuracy. Finally, the coupled model we developed as part of this work showcases its ability to account for wave–current effects, in a manner extensible to other coupled processes through BMI and applicable to more complex geometries.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The importance of resolving nearshore currents in coastal dispersal models,/articles/importance-resolving-nearshore-currents-coastal-dispersal-models,"This paper is particularly relevant to investigations into the spread of organisms that remain close to shore over timescales of days-to-weeks, e.g., the spread of marine non-native species and pathogenetic parasites, but is equally relevant to simulations tracking the dispersal of eDNA or coastal pollutants such as oil and plastics.
",Goal 14: Life below water; Goal 11: Sustainable cities and communities; Goal 3: Good health and well-being,"Biophysical models often require shelf-scale domains to map larval dispersal over several weeks, presenting a computational challenge. This can be overcome by decreasing model spatial resolution; however, nearshore processes, which potentially play a significant role in larval dispersal, will inevitably be unresolved. Here, we evaluate how simulated larval dispersal in the nearshore is sensitive to model spatial resolution. We use an unstructured, finite element, hydrodynamic model of a topographically-complex coastline in North Wales, UK (which includes headlands, bays and channels) at four different spatial scales (50, 100, 250, 500 m) to compare the influence of spatial resolution on transport and dispersal patterns of particles released within the nearshore region (within 1 km of the shore). In the higher resolution (50 and 100 m) simulations, particles generally travelled offshore more quickly and further (∼18%) than in the coarser (250 and 500 m) simulations. This had important implications for potential connectivity along the coast: for the lower resolution simulations, retention of particles near source sites was increased by ∼50% and, whilst the magnitude of connectivity among discrete regions along the coast was also increased (by ∼27%), the number of connected regions was reduced (by ∼9%), compared with the higher resolution simulations. Our results, based on a case study in a highly energetic and topographically complex region, suggest that model spatial resolution of ≤100 m should be used for dispersal studies in the nearshore zone. These findings add to growing evidence of the importance of using appropriately scaled models when simulating the transport of material within – and out of – the coastal zone, with many applications, such as marine ecology, marine biosecurity, marine spatial planning and marine pollution.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Tax regimes, investment subsidies and the green transformation of the maritime industry",/articles/tax-regimes-investment-subsidies-and-green-transformation-maritime-industry,"Shows how practical economic levers can make the shipping industry more environmentally sustainable.
",Goal 14: Life below water; Goal 13: Climate action,"Maritime nations aim at establishing an environmentally sustainable shipping industry by 2050. We use insight from real options theory to target tax reforms that may facilitate the industry's transformation to sustainability. We demonstrate that a zero-cost tax package, which includes subsidies on green investments and a return to a regular income tax regime, can reduce investment thresholds. “Flags of convenience” and tonnage tax systems do not contribute to the sharing of risk between shipowners and governments. From a shipowner's perspective a higher degree of risk sharing reduces the value of waiting to invest, which may shift an individual investment decision towards a sustainable optimum level.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Barriers and enablers for engagement in a new aquaculture activity: An example from seaweed initiatives in Samoa,/articles/barriers-and-enablers-engagement-new-aquaculture-activity-example-seaweed-initiatives-samoa,"This paper explores perceived barriers and enablers for engagement in a new aquaculture activity, using an example of ‘technology-push’ towards seaweed farming in coastal villages in Samoa.",Goal 12: Responsible consumption and production; Goal 14: Life below water,"Adoption of any new agriculture or aquaculture technology by intended beneficiary farmers is not a simple process. Typically, new technologies and new activities have been delivered to farmers through a ‘technology-push’, designed and supported by governments, non-government organisations and donor community, yet rates of adoption are disappointingly low. In this paper we set out to explore barriers and enablers for engagement in a new aquaculture activity, as perceived by the intended farmers. Our example is of ‘technology-push’ towards seaweed farming in coastal villages in Samoa. To increase the likelihood of greater adoption in the future, we explored perceptions of the intended beneficiaries by conducting 20 focus group discussions with 135 women and men, in 10 villages. Specifically, we explored their perceptions of seaweed as an industry, as well as perceptions of barriers and enablers linked to the key market system components: core production functions (inputs and outputs); supporting functions (such as transport, finance, training); institutional barriers; and personal agency. We found that a set of inputs seen as ‘essential’ was much broader than inputs suggested in market systems studies. Essential inputs included not only materials, tools, equipment and labour, but also extended to include information, knowledge and skills; farm governance and protection of the farms; personal agency; and environmental context. What emerged from our data is a clear division of what participants saw as solutions that can be resolved by them (such as arranging informal institutions) versus solutions that need to be provided externally (such as tools, skills, financing and markets) for which the Ministry of Agriculture and Fisheries was seen as the key external provider. We suggest that, when introducing new activities or technologies, adequate time and effort needs to be put into (a) finding out what essential inputs for the potential beneficiaries of the activity are; and (b) providing them with such inputs in pre-planned manner.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Rapid hepatitis C virus point-of-care RNA testing and treatment at an integrated supervised consumption service in Toronto, Canada: a prospective, observational cohort study",/articles/rapid-hepatitis-c-virus-point-care-rna-testing-and-treatment-integrated-supervised,"This Article supports SDG 3 by showing that an HCV testing (point-of-care) and treatment programme implemented in users of a supervised drug cosumption service in Canada was beneficial, with a large degree of positive testing, testing acceptance, and treatment engagement. The study suggests that on-site point of care testing and treatment for HCV in supervised consumption services is effective in reaching this population
",Goal 3: Good health and well-being,"Background: Despite high burden of Hepatitis C (HCV) among people who inject drugs, significant barriers to care persist. The aim of this study was to evaluate the provision of rapid, low-barrier point-of-care (POC) HCV RNA testing and linkage to care among clients of a supervised consumption service (SCS) located within a community health centre in Toronto, Canada. Secondary aims included measuring HCV RNA prevalence at baseline, HCV incidence during follow-up and exploring factors associated with HCV RNA positivity and treatment uptake. Methods: Participants were enrolled in a prospective, observational cohort from August 13, 2018 to September 30, 2021. Those with positive HCV RNA tests were offered immediate referral to onsite treatment. Those with negative results were offered repeat testing every three months for up to four visits. HCV incidence was estimated as the number of incident HCV infections per 100 person-years at risk, among those HCV RNA negative at baseline who returned for ≥1 follow-up visit. Missing data were reported when present. Findings: 128 participants were enrolled with four later removed due to ineligibility. At baseline, 54 of 124 eligible participants (43.5%) tested HCV RNA positive. HCV incidence was 35.1 cases per 100 person-years (95% CI: 18.9–65.3) with a cumulative incidence of 38.3% at 15 months of follow-up. Among participants HCV RNA positive at baseline or follow-up (n = 64), 67.2% (n = 43) were linked to HCV care and treatment was initiated among 67.4% (n = 29/43). Interpretation: High HCV RNA prevalence and incidence demonstrate that the SCS serves a high-risk population for HCV. Testing acceptance was high, as was treatment engagement. POC HCV RNA testing positions SCSs as an important point of HCV care access. Funding: HCV Micro-Elimination Grant, Gilead Sciences Canada; in-kind support from Cepheid.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The impact of immigration on hepatitis B burden in the United States: a modelling study,/articles/impact-immigration-hepatitis-b-burden-united-states-modelling-study,"This Article supports SDG 3 by using modelling to estimate the impact of immigration on hepatitis B prevalence in the USA, in order to more accurately assess the hepatitis B burden, which might not be accurately measured by national serosurveys. The study found a significantly higher burden of hepatitis B (1.8 million cases), significantly higher than that found in national serosurveys.
",Goal 3: Good health and well-being,"Background: The 2016 World Health Assembly endorsed the elimination of hepatitis B virus (HBV) infections by 2030. However, the HBV prevalence in Western countries, where the historical prevalence is low and highly impacted by immigration trends, remains uncertain making planning difficult. We aimed to develop a more accurate estimate of HBV prevalence and identify key immigrant populations that need to be screened, vaccinated, and treated to achieve the elimination targets. Methods: US immigration data from 1900 forward and country-specific modeled prevalence by age and sex were used to estimate immigrated HBV infections entering the US, new infections in the US, mortality (all-cause and liver-related), and disease burden through 2030. Findings: Using a dynamic Markov model, we estimated 1.8 million (95% uncertainty interval: 1.3–2.6 million) HBV infections in 2020 in all ages, higher than the NHANES national serosurvey. Infections between ages 30–74 accounted for 82% of all cases. Furthermore, HBV infections were concentrated among immigrants. New decompensated cirrhosis, hepatocellular carcinoma, and liver related deaths are expected to increase by 20%, 31% and 25% respectively from 2019 to 2030 at current diagnosis and treatment rate. Interpretation: National serosurveys can underestimate total infections due to under-sampling in immigrant populations. To meet the WHO elimination targets, culturally appropriate screening and linkage to care programs in the immigrant populations are needed in the US. In their absence, there will be significant increases in the burden of HBV and the US will fail to meet the elimination targets by 2030. Funding: This analysis was funded by a research grant from Gilead Sciences (IN-US-988-5786) and made possible by grants from John C Martin Foundation (2019-G024), ZeShan Foundation (2021-0101-1-CDA-HEP-10), and EndHep2030 who supported country analyses.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocean carbon from space: Current status and priorities for the next decade,/articles/ocean-carbon-space-current-status-and-priorities-next-decade,"Monitoring the ocean carbon cycle is key to improved understanding. Satellites play a major role in our global carbon monitoring system. To make full use of satellite observations for ocean carbon monitoring the remote-sensing community needs to work closely with in-situ data experts, physical and biogeochemical modellers, Earth system scientists, climate scientists and marine policy experts.
","Goal 9: Industry, innovation and infrastructure; Goal 13: Climate action; Goal 14: Life below water","The ocean plays a central role in modulating the Earth's carbon cycle. Monitoring how the ocean carbon cycle is changing is fundamental to managing climate change. Satellite remote sensing is currently our best tool for viewing the ocean surface globally and systematically, at high spatial and temporal resolutions, and the past few decades have seen an exponential growth in studies utilising satellite data for ocean carbon research. Satellite-based observations must be combined with in-situ observations and models, to obtain a comprehensive view of ocean carbon pools and fluxes. To help prioritise future research in this area, a workshop was organised that assembled leading experts working on the topic, from around the world, including remote-sensing scientists, field scientists and modellers, with the goal to articulate a collective view of the current status of ocean carbon research, identify gaps in knowledge, and formulate a scientific roadmap for the next decade, with an emphasis on evaluating where satellite remote sensing may contribute. A total of 449 scientists and stakeholders participated (with balanced gender representation), from North and South America, Europe, Asia, Africa, and Oceania. Sessions targeted both inorganic and organic pools of carbon in the ocean, in both dissolved and particulate form, as well as major fluxes of carbon between reservoirs (e.g., primary production) and at interfaces (e.g., air-sea and land–ocean). Extreme events, blue carbon and carbon budgeting were also key topics discussed. Emerging priorities identified include: expanding the networks and quality of in-situ observations; improved satellite retrievals; improved uncertainty quantification; improved understanding of vertical distributions; integration with models; improved techniques to bridge spatial and temporal scales of the different data sources; and improved fundamental understanding of the ocean carbon cycle, and of the interactions among pools of carbon and light. We also report on priorities for the specific pools and fluxes studied, and highlight issues and concerns that arose during discussions, such as the need to consider the environmental impact of satellites or space activities; the role satellites can play in monitoring ocean carbon dioxide removal approaches; economic valuation of the satellite based information; to consider how satellites can contribute to monitoring cycles of other important climatically-relevant compounds and elements; to promote diversity and inclusivity in ocean carbon research; to bring together communities working on different aspects of planetary carbon; maximising use of international bodies; to follow an open science approach; to explore new and innovative ways to remotely monitor ocean carbon; and to harness quantum computing. Overall, this paper provides a comprehensive scientific roadmap for the next decade on how satellite remote sensing could help monitor the ocean carbon cycle, and its links to the other domains, such as terrestrial and atmosphere.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
